Unnamed: 0,ShopName,ShopAddress,Postcode
139,CHEN COMPUTER DAN HANDPHONE SALE SERVICE,"BLOK B,LOT NO.4,TINGKAT BAWAH,KOMPLEKS SRI RANGAN",
140,SK IT MOBILE,"TB.11,LOT 11, MUHIBBAH SQUARE, JALAN MUHIBBAH, 91000 TAWAU, SABAH",91000.0
141,LIM MOBILE SHOP,"LOT 126, CENTRE POINT, 91100 LAHAD DATU",91100.0
142,SYARIKAT WELLCOM,"LOT 16B BLOK 4 TINGKAT BAWAH, 90000 SANDAKAN",90000.0
143,TELEPOST,"LOT 99 BLOK D4, TINGKAT BAWAH UTAMA PLACE 6&7, JALAN UTARA 90000 SANDAKAN.",90000.0
144,VISION COM SALES & SERVICES,"MDLD 3322,GRD FLR,FAJAR CENTRE, 91120 LAHAD DATU, SABAH.",91120.0
145,CITY PHONE CARE,"LOT 108 A, JALAN CHIN HWA, 18000 KUALA KRAI, KELANTAN",18000.0
146,YOU STORE ENTERPRISE,"15, JALAN BESAR, 17000 PASIR MAS, KELANTAN",17000.0
147,MUHIBAHFON,"261-B DEPAN PASAR, 16800 PASIR PUTEH, KELANTAN",16800.0
148,PANDAREE COMMUNICATION,"PT 642 KOMPLEKS PERNIAGAAN HUMAIRA JALAN HUMAIRA, 17500 TANAH MERAH, KELANTAN",17500.0
149,GM GADGETS,"63 JALAN PEKAN LAMA, 18300 GUA MUSANG, KELANTAN",18300.0
150,RING RING COM TELECOMMUNICATION,"PT 334, BANGUNAN MCA, JALAN PADANG, 18500 MACHANG, KELANTAN",18500.0
151,E.Q COMMUNICATION ENTERPRISE,"LOT 315 JALAN BUKIT MOK MEK, 22000 JERETEH, TERENGGANU",22000.0
152,AZ BROADBAND SOLUTIONS,"NO.9, JALAN DATUK BAHAMAN 3 28000 TEMERLOH PAHANG",28000.0
153,BONACO ENTERPRISE,"NO.3 BAWAH BANGUNAN 36 UNIT, 26400 PUSAT JENGKA PAHANG",26400.0
154,JJCOM TRADING,"21B, JALAN DATO ABDULLAH 27600 RAUB PAHANG",27600.0
155,HELLO PHONE SHOP,"LOT69, JALAN ENGKU MUDA MANSOR 26600 PEKAN PAHANG",26600.0
